seller_id,seller_state,seller_city,units_sold,orders,revenue,distinct_products,avg_seller_handling_days,late_rate,avg_review_score,cum_share
4869f7a5dfa277a7dca6462dcf3b52b2,SP,guariba,1155.0,1131.0,229237.6283493042,95.0,2.2726480836236935,0.11585365853658537,4.139473684210526,0.016987610842030508
53243585a1d6dc2643021fd1853d8905,BA,lauro de freitas,410.0,358.0,222776.0495452881,23.0,2.94,0.04,4.128140703517588,0.03349638761594511
4a3ca9315b744ce9f8e9374361493884,SP,ibitinga,1985.0,1804.0,200326.12145614624,399.0,2.232939969214982,0.10979989738327348,3.8287493513233004,0.04834151673935797
fa1c13f2614d7b5c4749cbc52fecda94,SP,sumare,585.0,584.0,192842.12937164307,289.0,2.214162348877375,0.10189982728842832,4.373913043478261,0.0626320460529933
7c67e1448b00f6e969d365cea6b010ab,SP,itaquaquecetuba,1364.0,982.0,187923.8919391632,198.0,11.490774907749078,0.0959409594095941,3.3511507052709724,0.07655811031726786
7e93a43ef30c4f03f38b393420bc753a,SP,barueri,336.0,332.0,172583.8793411255,182.0,2.2888198757763973,0.055900621118012424,4.364485981308412,0.08934740586602322
da8622b14eb17ae2831f4ac5b9dab84a,SP,piracicaba,1551.0,1314.0,160236.5680885315,222.0,2.202842377260982,0.07299741602067183,4.0713359273670555,0.10122170626317596
7a67c85e85bb2ce8582c35f2203ad736,SP,sao paulo,1170.0,1159.0,141715.54166030884,149.0,1.4661458333333333,0.05887445887445888,4.269398430688753,0.11172350952003292
1025f0e2d44d7041d6cf58b6550e0bfa,SP,sao paulo,1428.0,915.0,138968.55053710938,154.0,3.647887323943662,0.09225352112676057,3.862215909090909,0.12202174752225237
955fee9216a65b617aa5c0531780ce60,SP,sao paulo,1498.0,1286.0,135159.7006969452,104.0,1.5523097826086956,0.08084239130434782,4.088235294117647,0.13203773143160602
46dc3b2cc0980fb8ec44634e21d2718e,RJ,rio de janeiro,539.0,518.0,127161.21850204468,188.0,2.7495219885277247,0.06309751434034416,4.263565891472868,0.1414609893394202
6560211a19b47992c3666cc44a7e94c0,SP,sao paulo,2025.0,1847.0,122776.83002853394,256.0,1.0901803607214429,0.06212424849699399,3.9489641232945933,0.1505593429734264
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,petropolis,789.0,732.0,113659.39869689941,127.0,2.347043701799486,0.09511568123393316,4.26797385620915,0.1589820510929679
7d13fca15225358621be4086e1eb0964,SP,ribeirao preto,578.0,565.0,113628.97007751465,57.0,3.425569176882662,0.1190893169877408,4.017605633802817,0.16740250430545817
5dceca129747e92ff8ef7a997dc4f8ca,SP,santa barbara d´oeste,345.0,324.0,112085.6298160553,47.0,1.8979591836734695,0.05830903790087463,4.017699115044247,0.17570858858145533
1f50f920176fa81dab994f9023523100,SP,sao jose do rio preto,1930.0,1403.0,106889.31238937378,23.0,3.141744548286604,0.09449636552440291,3.9932221063607924,0.18362960074301926
cc419e0650a3c5ba77189a1882b7556a,SP,santo andre,1766.0,1697.0,103634.51013183594,37.0,2.2926119837114602,0.05991855730075625,4.139941690962099,0.19130941640243407
a1043bafd471dff536d0c462352beb48,MG,ilicinea,767.0,715.0,101483.16036987305,6.0,1.4561170212765957,0.05585106382978723,4.246666666666667,0.19882980669697972
