month_start,product_id,category,units_sold,orders,revenue,freight,revenue_rank
2017-01-01,4a90b44b456e79e7a33435fdd36e551f,garden_tools,9,9,3420.0,379.1800079345703,1
2017-01-01,8b502ca34e28d30605bc667b965b6abf,watches_gifts,1,1,2999.0,17.010000228881836,2
2017-01-01,6cdd53843498f92890544667809f1595,health_beauty,8,8,2799.199951171875,183.2099952697754,3
2017-01-01,34742604f6cd1e891726b849b6890f81,sports_leisure,3,2,2577.0,216.43000030517578,4
2017-01-01,1fa728d99803c8849b5c95cfeaf9b60c,computers,1,1,2199.989990234375,18.0,5
2017-01-01,acac295886c915b0bcb309cb4158c0a7,computers_accessories,1,1,1999.0,24.0,6
2017-01-01,09ff539a621711667c43eba6a3bd8466,baby,1,1,1934.0,27.0,7
2017-01-01,0d1d766e7cdd4a724e9ea9a18e5177bb,telephony,2,2,1511.97998046875,53.10000038146973,8
2017-01-01,9fc063fd34fed29ccc57b7f8e8d03388,health_beauty,4,4,1480.0,81.18000030517578,9
2017-01-01,362aecb999551eb6adcd8c5594e255fc,consoles_games,2,2,1439.760009765625,42.03999900817871,10
2017-01-01,fb01a5fc09b9b9563c2ee41a22f07d54,consoles_games,2,2,1379.780029296875,40.08000183105469,11
2017-01-01,5bfcd193eb29c1c8332e2d4ca804d54f,consoles_games,6,6,1343.3999633789062,128.69999885559082,12
2017-01-01,6f790ed0f75949b7fa234ec087aed912,baby,2,2,1338.0,63.0,13
2017-01-01,07ecfc5bd0d3ca496facedede13afb80,watches_gifts,1,1,1299.0,27.790000915527344,14
2017-01-01,c6edce374ec89184d740f3e674add5f4,watches_gifts,1,1,1299.0,24.299999237060547,15
2017-01-01,b68cf84ede4fd1e14b1740de5b727d55,health_beauty,2,2,1272.0,46.54999923706055,16
2017-01-01,8bc9dee0f2da0b7ad43095be7ad8414f,cool_stuff,3,2,1197.0,280.6800079345703,17
2017-01-01,6df665a20caa80a66804f836165bbf36,auto,2,2,1191.97998046875,55.829999923706055,18
2017-01-01,0de1e69dff6f40f9f71be7034a8bb8d2,perfumery,3,3,1049.6999816894531,57.7599983215332,19
2017-01-01,81c891c541361f1108fe9e2a645324d9,cool_stuff,1,1,869.0,24.0,20
2017-01-01,6c34d241bbd85d693f1fee6a4b8a8e2b,small_appliances,1,1,839.0,36.959999084472656,21
2017-01-01,e2b9252181ddde232e0bfb68df262610,health_beauty,4,4,825.0,92.3700008392334,22
2017-01-01,d12a5178024ccefb3582170a9ab45a0d,cool_stuff,2,1,798.0,48.52000045776367,23
2017-01-01,99b89f140f651db441848081814dd1a1,computers_accessories,4,2,787.5999755859375,37.989999771118164,24
2017-01-01,5b8423dc7f23089c9c59c5d140eb5a1c,toys,6,6,779.9400329589844,145.30000114440918,25
2017-01-01,88d165f46820f016a6840428dd5b7996,perfumery,3,3,779.6999816894531,44.11000061035156,26
2017-01-01,37eb69aca8718e843d897aa7b82f462d,garden_tools,15,1,765.0,18.000000715255737,27
2017-01-01,ca38c039b717207dec906f4fa9a21db7,health_beauty,4,4,719.9600219726562,72.39000129699707,28
2017-01-01,0c9ff9d8ed9b9bdd825487b3a66e05f5,auto,3,2,716.6999816894531,64.4000015258789,29
2017-01-01,16ce899c7af0c99f46948734a0d00f0f,stationery,9,2,716.4900054931641,119.19999694824219,30
2017-01-01,d696750e550fd0f733979dd7e5dff921,housewares,4,3,701.4000244140625,65.1999979019165,31
2017-01-01,0cc13a424dc207f8c4d3b26ea1cd384c,furniture_decor,2,2,699.97998046875,70.72999954223633,32
2017-01-01,d9279101bd9bcdf95aa06a8081b24367,baby,2,2,699.97998046875,44.89999961853027,33
2017-01-01,7fd93eccaf2d461cb6bc4bbd1aa91f1a,watches_gifts,1,1,699.1699829101562,20.59000015258789,34
2017-01-01,51eb65f0fd99823a3cb2c0d985e230a9,health_beauty,1,1,699.0,36.0,35
2017-01-01,28c8150eb44ec8106c8f061afd9c3e9f,telephony,1,1,659.989990234375,25.700000762939453,36
2017-01-01,67fcc72a4cfd0ac826c0158ce5c98ae6,sports_leisure,1,1,659.0,30.8700008392334,37
2017-01-01,baeb8e1a680cf9e1f13557d74b6cec3d,garden_tools,5,5,649.9500274658203,107.96000289916992,38
2017-01-01,e5d860a0fff2e94bd1a406456cc6c4b3,home_appliances_2,3,3,629.6999816894531,63.0,39
2017-01-01,bc2d6310e5cbd60facb2f9c8d9471597,cool_stuff,1,1,629.0,36.70000076293945,40
